k,type,score,label
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.821168,1
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.821168,1
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.66208,1
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.821168,1
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.813327,1
2,Kmeans,0.808613,0
2,Kmeans,0.813327,1
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.498483,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.66208,1
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.821168,1
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.813327,1
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.451677,1
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.821168,1
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.498483,0
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.498483,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.821168,1
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.821168,1
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.498483,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.498483,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.813327,1
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.813327,1
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.808613,0
2,Kmeans,0.821168,1
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.821168,1
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.813327,1
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.66208,1
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.813327,1
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.66208,1
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.498483,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.66208,1
2,Kmeans,0.498483,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.813327,1
2,Kmeans,0.808613,0
2,Kmeans,0.66208,1
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.821168,1
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.821168,1
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.702812,0
2,Kmeans,0.821168,1
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.813327,1
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.498483,0
2,Kmeans,0.498483,0
2,Kmeans,0.498483,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.813327,1
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.821168,1
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.821168,1
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.813327,1
2,Kmeans,0.498483,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.813327,1
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.821168,1
2,Kmeans,0.808613,0
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.498483,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.498483,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.821168,1
2,Kmeans,0.66208,1
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.813327,1
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.498483,0
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.813327,1
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.66208,1
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.821168,1
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.813327,1
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.498483,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.821168,1
2,Kmeans,0.702812,0
2,Kmeans,0.498483,0
2,Kmeans,0.808613,0
2,Kmeans,0.821168,1
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.821168,1
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.821168,1
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.702812,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.78477,0
2,Kmeans,0.808613,0
2,Kmeans,0.702812,0
2,Kmeans,0.702812,0
